date,runoff
2022/7/4 0:00,3700
2022/7/4 0:05,3711.666667
2022/7/4 0:10,3723.333333
2022/7/4 0:15,3735
2022/7/4 0:20,3746.666667
2022/7/4 0:25,3758.333333
2022/7/4 0:30,3770
2022/7/4 0:35,3781.666667
2022/7/4 0:40,3793.333333
2022/7/4 0:45,3805
2022/7/4 0:50,3816.666667
2022/7/4 0:55,3828.333333
2022/7/4 1:00,3840
2022/7/4 1:05,3858.333333
2022/7/4 1:10,3876.666667
2022/7/4 1:15,3895
2022/7/4 1:20,3913.333333
2022/7/4 1:25,3931.666667
2022/7/4 1:30,3950
2022/7/4 1:35,3956.666667
2022/7/4 1:40,3963.333333
2022/7/4 1:45,3970
2022/7/4 1:50,3993.333333
2022/7/4 1:55,4016.666667
2022/7/4 2:00,4040
2022/7/4 2:05,4052.631579
2022/7/4 2:10,4065.263158
2022/7/4 2:15,4077.894737
2022/7/4 2:20,4090.526316
2022/7/4 2:25,4103.157895
2022/7/4 2:30,4115.789474
2022/7/4 2:35,4128.421053
2022/7/4 2:40,4141.052632
2022/7/4 2:45,4153.684211
2022/7/4 2:50,4166.315789
2022/7/4 2:55,4178.947368
2022/7/4 3:00,4191.578947
2022/7/4 3:05,4204.210526
2022/7/4 3:10,4216.842105
2022/7/4 3:15,4229.473684
2022/7/4 3:20,4242.105263
2022/7/4 3:25,4254.736842
2022/7/4 3:30,4267.368421
2022/7/4 3:35,4280
2022/7/4 3:40,4300
2022/7/4 3:45,4320
2022/7/4 3:50,4340
2022/7/4 3:55,4360
2022/7/4 4:00,4380
2022/7/4 4:05,4380
2022/7/4 4:10,4380
2022/7/4 4:15,4395
2022/7/4 4:20,4410
2022/7/4 4:25,4425
2022/7/4 4:30,4440
2022/7/4 4:35,4455
2022/7/4 4:40,4470
2022/7/4 4:45,4485
2022/7/4 4:50,4500
2022/7/4 4:55,4515
2022/7/4 5:00,4530
2022/7/4 5:05,4545
2022/7/4 5:10,4560
2022/7/4 5:15,4575
2022/7/4 5:20,4590
2022/7/4 5:25,4605
2022/7/4 5:30,4620
2022/7/4 5:35,4635
2022/7/4 5:40,4650
2022/7/4 5:45,4665
2022/7/4 5:50,4680
2022/7/4 5:55,4695
2022/7/4 6:00,4710
2022/7/4 6:05,4700
2022/7/4 6:10,4730
2022/7/4 6:15,4742.5
2022/7/4 6:20,4755
2022/7/4 6:25,4767.5
2022/7/4 6:30,4780
2022/7/4 6:35,4792.5
2022/7/4 6:40,4805
2022/7/4 6:45,4817.5
2022/7/4 6:50,4830
2022/7/4 6:55,4842.5
2022/7/4 7:00,4855
2022/7/4 7:05,4867.5
2022/7/4 7:10,4880
2022/7/4 7:15,4860
2022/7/4 7:20,4890
2022/7/4 7:25,4900
2022/7/4 7:30,4910
2022/7/4 7:35,4920
2022/7/4 7:40,4930
2022/7/4 7:45,4940
2022/7/4 7:50,4950
2022/7/4 7:55,4960
2022/7/4 8:00,4970
2022/7/4 8:05,4977.5
2022/7/4 8:10,4985
2022/7/4 8:15,4992.5
2022/7/4 8:20,5000
2022/7/4 8:25,5007.5
2022/7/4 8:30,5015
2022/7/4 8:35,5022.5
2022/7/4 8:40,5030
2022/7/4 8:45,5037.5
2022/7/4 8:50,5045
2022/7/4 8:55,5052.5
2022/7/4 9:00,5060
2022/7/4 9:05,5065
2022/7/4 9:10,5070
2022/7/4 9:15,5075
2022/7/4 9:20,5080
2022/7/4 9:25,5085
2022/7/4 9:30,5090
2022/7/4 9:35,5095
2022/7/4 9:40,5100
2022/7/4 9:45,5105
2022/7/4 9:50,5110
2022/7/4 9:55,5115
2022/7/4 10:00,5120
2022/7/4 10:05,5125
2022/7/4 10:10,5130
2022/7/4 10:15,5135
2022/7/4 10:20,5140
2022/7/4 10:25,5145
2022/7/4 10:30,5150
2022/7/4 10:35,5155
2022/7/4 10:40,5160
2022/7/4 10:45,5165
2022/7/4 10:50,5170
2022/7/4 10:55,5175
2022/7/4 11:00,5180
2022/7/4 11:05,5185
2022/7/4 11:10,5190
2022/7/4 11:15,5195
2022/7/4 11:20,5200
2022/7/4 11:25,5205
2022/7/4 11:30,5210
2022/7/4 11:35,5215
2022/7/4 11:40,5220
2022/7/4 11:45,5225
2022/7/4 11:50,5230
2022/7/4 11:55,5235
2022/7/4 12:00,5240
2022/7/4 12:05,5245
2022/7/4 12:10,5250
2022/7/4 12:15,5255
2022/7/4 12:20,5260
2022/7/4 12:25,5265
2022/7/4 12:30,5270
2022/7/4 12:35,5275
2022/7/4 12:40,5280
2022/7/4 12:45,5285
2022/7/4 12:50,5290
2022/7/4 12:55,5295
2022/7/4 13:00,5300
2022/7/4 13:05,5310
2022/7/4 13:10,5320
2022/7/4 13:15,5330
2022/7/4 13:20,5340
2022/7/4 13:25,5343.863636
2022/7/4 13:30,5347.727273
2022/7/4 13:35,5351.590909
2022/7/4 13:40,5355.454545
2022/7/4 13:45,5359.318182
2022/7/4 13:50,5363.181818
2022/7/4 13:55,5367.045455
2022/7/4 14:00,5370.909091
2022/7/4 14:05,5374.772727
2022/7/4 14:10,5378.636364
2022/7/4 14:15,5382.5
2022/7/4 14:20,5386.363636
2022/7/4 14:25,5390.227273
2022/7/4 14:30,5394.090909
2022/7/4 14:35,5397.954545
2022/7/4 14:40,5401.818182
2022/7/4 14:45,5405.681818
2022/7/4 14:50,5409.545455
2022/7/4 14:55,5413.409091
2022/7/4 15:00,5417.272727
2022/7/4 15:05,5421.136364
2022/7/4 15:10,5425
2022/7/4 15:15,5428.863636
2022/7/4 15:20,5432.727273
2022/7/4 15:25,5436.590909
2022/7/4 15:30,5440.454545
2022/7/4 15:35,5444.318182
2022/7/4 15:40,5448.181818
2022/7/4 15:45,5452.045455
2022/7/4 15:50,5455.909091
2022/7/4 15:55,5459.772727
2022/7/4 16:00,5463.636364
2022/7/4 16:05,5467.5
2022/7/4 16:10,5471.363636
2022/7/4 16:15,5475.227273
2022/7/4 16:20,5479.090909
2022/7/4 16:25,5482.954545
2022/7/4 16:30,5486.818182
2022/7/4 16:35,5490.681818
2022/7/4 16:40,5494.545455
2022/7/4 16:45,5498.409091
2022/7/4 16:50,5502.272727
2022/7/4 16:55,5506.136364
2022/7/4 17:00,5510
2022/7/4 17:05,5516.666667
2022/7/4 17:10,5523.333333
2022/7/4 17:15,5530
2022/7/4 17:20,5536.666667
2022/7/4 17:25,5543.333333
2022/7/4 17:30,5550
2022/7/4 17:35,5556.666667
2022/7/4 17:40,5563.333333
2022/7/4 17:45,5570
2022/7/4 17:50,5576.666667
2022/7/4 17:55,5583.333333
2022/7/4 18:00,5590
2022/7/4 18:05,5594
2022/7/4 18:10,5598
2022/7/4 18:15,5602
2022/7/4 18:20,5606
2022/7/4 18:25,5610
2022/7/4 18:30,5616.666667
2022/7/4 18:35,5623.333333
2022/7/4 18:40,5630
2022/7/4 18:45,5636.666667
2022/7/4 18:50,5643.333333
2022/7/4 18:55,5650
2022/7/4 19:00,5656.666667
2022/7/4 19:05,5663.333333
2022/7/4 19:10,5670
2022/7/4 19:15,5676.666667
2022/7/4 19:20,5683.333333
2022/7/4 19:25,5690
2022/7/4 19:30,5696.666667
2022/7/4 19:35,5703.333333
2022/7/4 19:40,5710
2022/7/4 19:45,5716.666667
2022/7/4 19:50,5723.333333
2022/7/4 19:55,5730
2022/7/4 20:00,5736.666667
2022/7/4 20:05,5743.333333
2022/7/4 20:10,5750
2022/7/4 20:15,5756.666667
2022/7/4 20:20,5763.333333
2022/7/4 20:25,5770
2022/7/4 20:30,5776.666667
2022/7/4 20:35,5783.333333
2022/7/4 20:40,5790
2022/7/4 20:45,5796.666667
2022/7/4 20:50,5803.333333
2022/7/4 20:55,5810
2022/7/4 21:00,5816.666667
2022/7/4 21:05,5823.333333
2022/7/4 21:10,5830
2022/7/4 21:15,5836.666667
2022/7/4 21:20,5843.333333
2022/7/4 21:25,5850
2022/7/4 21:30,5856.666667
2022/7/4 21:35,5863.333333
2022/7/4 21:40,5870
2022/7/4 21:45,5873.636364
